sector,ocupacion,nivel_educ,Hombre,Mujer,brecha_pct
Industria extractiva,Industria extractiva y construcción,Media superior,58.33333,,
Industria extractiva,Industria extractiva y construcción,Superior,115.144825,67.82946,41.1
Industria extractiva,Operadores de maquinaria,Básica,60.0,69.44444,-15.7
Industria extractiva,Operadores de maquinaria,Media superior,72.91667,,
Industria extractiva,Operadores de maquinaria,Sin instrucción,27.90698,,
Industria extractiva,Operadores de maquinaria,Superior,,23.25581,
Industria extractiva,Otras ocupaciones,Media superior,69.374145,,
Industria extractiva,Otras ocupaciones,No especificado,100.0,,
Industria extractiva,Otras ocupaciones,Superior,48.864895000000004,,
Industria extractiva,Profesionistas y técnicos,Superior,116.27907,93.5843,19.5
Industria extractiva,Servicios personales,Básica,56.0,49.83389,11.0
Industria extractiva,Servicios personales,Media superior,58.82353,98.58388500000001,-67.6
Industria extractiva,Servicios personales,No especificado,37.5,,
Industria extractiva,Servicios personales,Sin instrucción,48.71181,,
Industria extractiva,Servicios personales,Superior,66.66667,69.0407,-3.6
Industria extractiva,Trabajadores de la educación,Básica,72.67442,,
Industria extractiva,Trabajadores de la educación,Media superior,88.88889,38.75969,56.4
Industria extractiva,Trabajadores de la educación,Superior,180.232555,104.65116,41.9
Industria extractiva,Trabajadores del arte,Básica,66.66667,42.572465,36.1
Industria extractiva,Trabajadores del arte,Media superior,66.555925,76.01237,-14.2
Industria extractiva,Trabajadores del arte,No especificado,75.0,,
Industria extractiva,Trabajadores del arte,Sin instrucción,50.87209,,
Industria extractiva,Trabajadores del arte,Superior,104.65116,93.02326,11.1
Manufactura,Actividades administrativas,Básica,48.0,39.58333,17.5
Manufactura,Actividades administrativas,Media superior,51.396105,45.83333,10.8
Manufactura,Actividades administrativas,No especificado,37.5,38.46154,-2.6
Manufactura,Actividades administrativas,Sin instrucción,44.44444,25.71429,42.1
Manufactura,Actividades administrativas,Superior,56.25,50.0,11.1
Manufactura,Actividades agrícolas,Básica,40.625,45.0,-10.8
Manufactura,Actividades agrícolas,Media superior,43.307755,41.801075,3.5
Manufactura,Actividades agrícolas,No especificado,48.44961,60.0,-23.8
Manufactura,Actividades agrícolas,Sin instrucción,40.88319,39.73684,2.8
Manufactura,Actividades agrícolas,Superior,44.64286,46.589150000000004,-4.4
Manufactura,Comerciantes y vendedores,Básica,33.841045,33.33333,1.5
Manufactura,Comerciantes y vendedores,Media superior,41.17647,35.41667,14.0
Manufactura,Comerciantes y vendedores,No especificado,29.41176,26.038964999999997,11.5
Manufactura,Comerciantes y vendedores,Sin instrucción,33.33333,34.0,-2.0
Manufactura,Comerciantes y vendedores,Superior,50.0,41.66667,16.7
Manufactura,Funcionarios y directivos,Básica,60.277775,58.33333,3.2
Manufactura,Funcionarios y directivos,Media superior,70.0,57.958655,17.2
Manufactura,Funcionarios y directivos,No especificado,31.25,57.14286,-82.9
Manufactura,Funcionarios y directivos,Sin instrucción,54.34783,32.582364999999996,40.0
Manufactura,Funcionarios y directivos,Superior,87.5,77.51938,11.4
Manufactura,Industria extractiva y construcción,Básica,129.667775,,
Manufactura,Industria extractiva y construcción,Media superior,82.68734,68.75,16.9
Manufactura,Industria extractiva y construcción,No especificado,81.41473,,
Manufactura,Industria extractiva y construcción,Superior,81.52616499999999,66.63928,18.3
Manufactura,Operadores de maquinaria,Básica,39.00966,47.82609,-22.6
Manufactura,Operadores de maquinaria,Media superior,44.44444,39.58333,10.9
Manufactura,Operadores de maquinaria,Sin instrucción,36.47971,40.625,-11.4
Manufactura,Operadores de maquinaria,Superior,45.98309,52.291664999999995,-13.7
Manufactura,Otras ocupaciones,Básica,50.0,,
Manufactura,Otras ocupaciones,Media superior,50.0,42.63566,14.7
Manufactura,Otras ocupaciones,Sin instrucción,,40.0,
Manufactura,Otras ocupaciones,Superior,71.458335,50.0,30.0
Manufactura,Profesionistas y técnicos,Básica,,66.66667,
Manufactura,Profesionistas y técnicos,Media superior,54.425065000000004,61.77778,-13.5
Manufactura,Profesionistas y técnicos,Superior,72.01389,69.328165,3.7
Manufactura,Servicios personales,Básica,51.02041,35.41667,30.6
Manufactura,Servicios personales,Media superior,53.57143,51.59721999999999,3.7
Manufactura,Servicios personales,No especificado,79.166665,,
Manufactura,Servicios personales,Sin instrucción,47.847225,30.0,37.3
Manufactura,Servicios personales,Superior,56.25,56.45833,-0.4
Manufactura,Trabajadores de la educación,Básica,101.679585,48.44961,52.4
Manufactura,Trabajadores de la educación,Media superior,88.88889,62.5,29.7
Manufactura,Trabajadores de la educación,Sin instrucción,88.88889,68.39945,23.1
Manufactura,Trabajadores de la educación,Superior,139.53488,106.90769,23.4
Manufactura,Trabajadores del arte,Básica,52.63889,51.041664999999995,3.0
Manufactura,Trabajadores del arte,Media superior,55.55556,51.11111,8.0
Manufactura,Trabajadores del arte,No especificado,57.166664999999995,,
Manufactura,Trabajadores del arte,Sin instrucción,64.583335,44.04762,31.8
Manufactura,Trabajadores del arte,Superior,66.66667,61.31137,8.0
Restaurantes y hospedaje,Actividades administrativas,Básica,45.45455,40.0,12.0
Restaurantes y hospedaje,Actividades administrativas,Media superior,50.0,41.66667,16.7
Restaurantes y hospedaje,Actividades administrativas,No especificado,59.02778,38.226745,35.2
Restaurantes y hospedaje,Actividades administrativas,Sin instrucción,46.64513,37.5,19.6
Restaurantes y hospedaje,Actividades administrativas,Superior,53.7037,45.10982,16.0
Restaurantes y hospedaje,Actividades agrícolas,Básica,43.60465,40.81633,6.4
Restaurantes y hospedaje,Actividades agrícolas,Media superior,45.45455,42.85714,5.7
Restaurantes y hospedaje,Actividades agrícolas,No especificado,50.0,47.61905,4.8
Restaurantes y hospedaje,Actividades agrícolas,Sin instrucción,41.66667,40.0,4.0
Restaurantes y hospedaje,Actividades agrícolas,Superior,48.44961,43.75,9.7
Restaurantes y hospedaje,Comerciantes y vendedores,Básica,41.66667,50.0,-20.0
Restaurantes y hospedaje,Comerciantes y vendedores,Media superior,43.75,43.75,0.0
Restaurantes y hospedaje,Comerciantes y vendedores,No especificado,35.29412,49.444445,-40.1
Restaurantes y hospedaje,Comerciantes y vendedores,Sin instrucción,40.0,41.66667,-4.2
Restaurantes y hospedaje,Comerciantes y vendedores,Superior,50.0,50.0,0.0
Restaurantes y hospedaje,Funcionarios y directivos,Básica,51.041664999999995,193.636365,-279.4
Restaurantes y hospedaje,Funcionarios y directivos,Media superior,67.82946,67.91472999999999,-0.1
Restaurantes y hospedaje,Funcionarios y directivos,Sin instrucción,73.83721,,
Restaurantes y hospedaje,Funcionarios y directivos,Superior,77.51938,69.76744,10.0
Restaurantes y hospedaje,Industria extractiva y construcción,Básica,49.580105,,
Restaurantes y hospedaje,Industria extractiva y construcción,Media superior,44.895835000000005,64.44444,-43.5
Restaurantes y hospedaje,Industria extractiva y construcción,No especificado,38.75969,,
Restaurantes y hospedaje,Industria extractiva y construcción,Sin instrucción,62.5,,
Restaurantes y hospedaje,Industria extractiva y construcción,Superior,52.08333,48.44961,7.0
Restaurantes y hospedaje,Operadores de maquinaria,Básica,44.089150000000004,75.625,-71.5
Restaurantes y hospedaje,Operadores de maquinaria,Media superior,49.0,60.714285000000004,-23.9
Restaurantes y hospedaje,Operadores de maquinaria,Superior,37.03704,41.875,-13.1
Restaurantes y hospedaje,Otras ocupaciones,Media superior,53.29457,41.66667,21.8
Restaurantes y hospedaje,Otras ocupaciones,Sin instrucción,26.78571,,
Restaurantes y hospedaje,Otras ocupaciones,Superior,27.77778,42.119975,-51.6
Restaurantes y hospedaje,Profesionistas y técnicos,Media superior,101.25969,53.39147,47.3
Restaurantes y hospedaje,Profesionistas y técnicos,Superior,64.34108499999999,58.13953,9.6
Restaurantes y hospedaje,Servicios personales,Básica,46.66667,53.125,-13.8
Restaurantes y hospedaje,Servicios personales,Media superior,53.125,29.642855,44.2
Restaurantes y hospedaje,Servicios personales,Sin instrucción,65.89147,40.0,39.3
Restaurantes y hospedaje,Servicios personales,Superior,48.18314,77.51938,-60.9
Restaurantes y hospedaje,Trabajadores de la educación,Básica,62.5,67.82946,-8.5
Restaurantes y hospedaje,Trabajadores de la educación,Media superior,76.92308,62.22222,19.1
Restaurantes y hospedaje,Trabajadores de la educación,Sin instrucción,62.5,62.5,0.0
Restaurantes y hospedaje,Trabajadores de la educación,Superior,83.05648,72.91667,12.2
Restaurantes y hospedaje,Trabajadores del arte,Básica,44.075305,42.261905,4.1
Restaurantes y hospedaje,Trabajadores del arte,Media superior,48.14815,44.44444,7.7
Restaurantes y hospedaje,Trabajadores del arte,No especificado,66.66667,56.81818,14.8
Restaurantes y hospedaje,Trabajadores del arte,Sin instrucción,37.5,45.833335000000005,-22.2
Restaurantes y hospedaje,Trabajadores del arte,Superior,50.0,48.44961,3.1
Servicios diversos,Actividades administrativas,Básica,48.455574999999996,40.0,17.5
Servicios diversos,Actividades administrativas,Media superior,52.08333,42.85714,17.7
Servicios diversos,Actividades administrativas,No especificado,47.61905,58.13953,-22.1
Servicios diversos,Actividades administrativas,Sin instrucción,44.44444,37.5,15.6
Servicios diversos,Actividades administrativas,Superior,55.55556,50.0,10.0
Servicios diversos,Actividades agrícolas,Básica,39.58333,43.75,-10.5
Servicios diversos,Actividades agrícolas,Media superior,43.60465,50.0,-14.7
Servicios diversos,Actividades agrícolas,No especificado,46.41473,50.0,-7.7
