anio,sector,ocupacion,nivel_educ,sexo,poblacion_ocupada,media_ing_hora,mediana_ing_hora
2005,Comercio,Operadores de maquinaria,Sin instrucción,Mujer,1662,9.57,8.0
2005,Comercio,Operadores de maquinaria,Superior,Hombre,5723,20.31,17.14286
2005,Comercio,Operadores de maquinaria,Superior,Mujer,2733,107.11,19.48751
2005,Comercio,Profesionistas y técnicos,Básica,Hombre,86,33.91,33.91473
2005,Comercio,Profesionistas y técnicos,Básica,Mujer,795,14.0,10.46512
2005,Comercio,Profesionistas y técnicos,Media superior,Hombre,3565,37.22,37.054265
2005,Comercio,Profesionistas y técnicos,Media superior,Mujer,1600,13.13,22.75194
2005,Comercio,Profesionistas y técnicos,Superior,Hombre,1482,50.71,38.75969
2005,Comercio,Profesionistas y técnicos,Superior,Mujer,2071,33.94,27.858530000000002
2005,Comercio,Servicios personales,Básica,Hombre,204625,20.59,16.67
2005,Comercio,Servicios personales,Básica,Mujer,38,19.79,19.79167
2005,Comercio,Servicios personales,Media superior,Hombre,293902,20.36,17.5
2005,Comercio,Servicios personales,Media superior,Mujer,244,15.3,16.0
2005,Comercio,Servicios personales,No especificado,Hombre,81,22.73,22.72727
2005,Comercio,Servicios personales,Sin instrucción,Hombre,99354,17.12,14.59
2005,Comercio,Servicios personales,Superior,Hombre,82987,21.9,19.38
2005,Comercio,Servicios personales,Superior,Mujer,620,35.34,25.0
2005,Comercio,Trabajadores de la educación,Básica,Hombre,15902,65.94,45.45
2005,Comercio,Trabajadores de la educación,Básica,Mujer,7138,43.71,31.71
2005,Comercio,Trabajadores de la educación,Media superior,Hombre,54668,59.16,35.94
2005,Comercio,Trabajadores de la educación,Media superior,Mujer,32561,42.53,36.36
2005,Comercio,Trabajadores de la educación,No especificado,Hombre,413,27.3,28.585275
2005,Comercio,Trabajadores de la educación,No especificado,Mujer,85,74.75,74.75083
2005,Comercio,Trabajadores de la educación,Sin instrucción,Hombre,3520,53.71,37.087914999999995
2005,Comercio,Trabajadores de la educación,Sin instrucción,Mujer,2161,22.26,16.319445
2005,Comercio,Trabajadores de la educación,Superior,Hombre,274175,72.09,51.68
2005,Comercio,Trabajadores de la educación,Superior,Mujer,80480,62.61,38.64
2005,Comercio,Trabajadores del arte,Básica,Hombre,123764,19.11,16.67
2005,Comercio,Trabajadores del arte,Básica,Mujer,71630,20.26,16.67
